"label","seconds","interval_ms"
"Validating Mesh",1.009,NA
"Pre-processing scene",1.01,1.00000000000011
"Pre-processed  scene",1.01,0
"Removed duplicate materials",1.01,0
"Processed scene bounds",1.01,0
"Processed texture filenames",1.01,0
"Processed materials",1.01,0
"Loaded environment maps",1.01,0
"Initialized buffers",1.013,2.99999999999989
"Initialized shadowmaps",1.013,0
"Initialized alpha buffers",1.013,0
"Initialized shaders",1.013,0
"Initialized 3D models",1.013,0
"Calculated depth buffer(s)",1.014,1.00000000000011
"Executed pixel shaders",1.029,14.9999999999999
"Calculated linear depth",1.029,0
"Rasterized image",1.03,1.00000000000011
"Assembled output",1.039,8.9999999999999
"Clamped output",1.042,3.00000000000011
"Display/save image",1.042,0
